Sample 15: True = Neris, Pred = Htbot
Sample 39: True = Outlook, Pred = BitTorrent
Sample 43: True = Outlook, Pred = Gmail
Sample 48: True = Shifu, Pred = Neris
Sample 89: True = Outlook, Pred = BitTorrent
Sample 99: True = Outlook, Pred = BitTorrent
Sample 101: True = Gmail, Pred = Htbot
Sample 159: True = BitTorrent, Pred = Outlook
Sample 180: True = Gmail, Pred = Outlook
Sample 210: True = Gmail, Pred = Outlook
Sample 211: True = Neris, Pred = Virut
Sample 218: True = Outlook, Pred = BitTorrent
Sample 228: True = Outlook, Pred = Weibo
Sample 232: True = BitTorrent, Pred = Gmail
Sample 242: True = BitTorrent, Pred = Outlook
Sample 248: True = Gmail, Pred = Outlook
Sample 264: True = Neris, Pred = Virut
Sample 272: True = Outlook, Pred = Gmail
Sample 294: True = Outlook, Pred = BitTorrent
Sample 307: True = BitTorrent, Pred = Outlook
